spp;common;origin;pol_dep;evp
 Asparagus officinalis L.;Aspargo;Exotic;Non-dependent;NA
 Olea europaea L.;Azeitona;Exotic;Non-dependent;NA
Abelmoschus esculentu (L.) Moench;Quiabo;Exotic;NA;NA
Acrocomia aculeata (Jacq.) Lodd. ex R.Keith;Macaúba;Native;Great;NA
Adesmia exilis Clos;Babosinha do campo;Exotic;Essential;NA
Allium cepa L.;Onion;Exotic;Great;240.540.300,00
Allium sativum L.;Garlic;Exotic;Non-dependent;NA
Anacardium occidentale L.;Cajú;Native;Essential;44.398.440,00
Ananas ananassoides (Baker) L.B.Sm.;Abacaxi do cerrado;Native;Non-dependent;NA
Ananas comosus (L.) Merr.;Abacaxi;Native;Non-dependent;NA
Annona aurantiaca Barb.Rodr.;Araticum de cabo verde;Native;NA;NA
Annona cherimola Mill.;Cherimóia;Exotic;Essential;NA
Annona coriacea Mart.;Araticum liso;Native;Essential;NA
Annona cornifolia A.St.-Hil.;Caritu cuí;Native;NA;NA
Annona crassiflora Mart.;Araticum;Native;Essential;NA
Annona montana Macfad;Guanabana;Native;NA;NA
Annona muricata L.;Graviola;Native;Little;100.520,00
Annona squamosa L.;Pinha;Exotic;Essential;2.563.290,00
Annona tomentosa R.E.Fr.;Araticum marolo;Native;NA;NA
Arachis hypogaea L.;Amendoim;Native;Little;10.570.250,00
Araucaria angustifolia (Bertol.) Kuntze;Pinhão;Native;Non-dependent;NA
Astrocaryum vulgare Mart.;Tucumã;Native;NA;NA
Attalea phalerata Mart. ex Spreng.;Ouricuri;Native;NA;NA
Attalea speciosa Mart.;Babaçu;Native;Essential;NA
Avena sativa L.;Aveia;Exotic;Non-dependent;NA
Averrhoa carambola L.;Carambola;Exotic;Essential;NA
Bactris gasipaes Kunth;Pupunha;Native;NA;NA
Bactris glaucescens  Drude;Palmito tucum;Native;NA;NA
Bertholletia excelsa Bonpl.;Castanha do brasil;Native;Essential;15.117.350,00
Bixa orellana L.;Urucum;Native;Modest;2.532.750,00
Blepharocalyx salicifolius (Kunth) O.Berg;Murta;Native;Essential;
Brassica napus L.;Brócolis;Exotic;Non-dependent;NA
Brassica rapa L.;Canola;Native;Great;437.840,00
Brassica sp1.;Couve-flor;Exotic;Non-dependent;NA
Brassica sp2.;Repolho;Exotic;Non-dependent;NA
Butia paraguayensis (Barb.Rodr.) L.H.Bailey;Butiá do cerrado;Native;NA;NA
Byrsonima coccolobifolia Kunth;Moressuma;Native;NA;NA
Byrsonima crassifolia (L.) Kunth;Murici;Native;Essential;NA
Byrsonima gardneriana A.Juss.;Murici pitanga;Native;Essential;NA
Cajanus cajan (L.) Huth;Feijão gandu;Exotic;Little;NA
Camellia sinensis (L.) Kuntze;Chá-da-índia;Exotic;Non-dependent;NA
Campomanesia adamantium (Cambess.) O.Berg;Guavira;Native;Great;NA
Campomanesia guazumifolia (Cambess.) O.Berg;Sete-capotes;Native;NA;NA
Campomanesia phaea (O.Berg) Landrum;Cambuci;Native;Essential;NA
Campomanesia pubescens (Mart. ex DC.) O.Berg;Guabiroba;Native;Essential;NA
Campomanesia velutina (Cambess.) O.Berg;Guabiroba-veludo;Native;Essential;NA
Campomanesia xanthocarpa (Mart.) O.Berg;Guabiroba-amarela;Native;Essential;NA
Capsicum annuum L.;Pimentão;Exotic;Modest;51.039.500,00
Capsicum chinense Jacq.;Pimenta-malagueta;Native;Great;19.353.100,00
Capsicum frutescens L.;Pimenta-malagueta-silvestre;Native;Modest;NA
Capsicum spp1.;Pimenta;Exotic;Little;NA
Capsicum spp2.;Pimenta-doce;Exotic;Non-dependent;NA
Carica papaya A.St.-Hil.;Mamão;Native;Little;10.596.980,00
Carya illinoinensis (Wangenh.) K.Koch;Noz pecã;Exotic;NA;NA
Caryocar brasiliense A.St.-Hil.;Pequi;Native;Essential;2.771.910,00
Caryocar villosum (Aubl.) Pers.;Piquiá;Native;NA;NA
Cichorium spp.;Chicória;Exotic;Non-dependent;NA
Citrullus lanatus (Thunb.) Matsum. & Nakai;Melancia;Exotic;Essential;235.892.030,00
Citrus limonum L.;Limão;Exotic;Little;78.547.350,00
Citrus reticulata Blanco;Tangerina;Exotic;Essential;911.629.500,00
Citrus sinensis (L.) Osbeck;Laranja;Exotic;Modest;2.095.024.750,00
Cocos nucifera L.;Côco;Exotic;Modest;46.481.850,00
Coffea arábica L.;Café;Exotic;Modest;5.340.228.750,00
Copaifera langsdorffii Desf.;Copaíba;Native;Essential;649.800,00
Cordiera macrophylla (K.Schum.) Kuntze;Marmelada-de-bezerro;Native;Essential;NA
Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina;Cambre;Exotic;NA;NA
Cucumis anguria L.;Maxixe;Exotic;NA;NA
Cucumis melo L.;Melão;Exotic;Essential;113.567.560,00
Cucumis sativus L.;Pepino;Exotic;Great;14.562.730,00
Cucurbita maxima Duchesne;Abóbora;Exotic;Essential;29.034.660,00
Cucurbita pepo L.;Abobrinha;Exotic;Essential;NA
Cydonia spp.;Marmelo;Exotic;NA;765.700,00 
Cynara cardunculus L.;Alcachofra;Exotic;Non-dependent;NA
Daucus carota L.;Carrot;Exotic;Non-dependent;NA
Dioscorea sp.;Inhame;Native;Non-dependent;NA
Diospyros kaki L.f.;Caqui;Exotic;Little;2.944.390,00
Dipteryx alata Vogel;Baru;Native;Essential;NA
Elaeis guineensis Jacq.;Dendê;Exotic;Little;4.235.150,00
Elaeis oleifera (Kunth) Cortés;Cauiaê;Native;NA;NA
Eugenia bergii Nied.;Pitanga;Native;Essential;254.600,00
Eugenia dysenterica DC.;Cagaita;Native;Great;NA
Eugenia pitanga (O.Berg) Nied.;Pitanga-peba;Native;NA;NA
Eugenia pyriformis Cambess.;Uvaia;Native;NA;NA
Eugenia selloi B.D.Jacks;Pitangatuba;Native;Essential;NA
Eugenia speciosa Cambess.;Laranjinha do mato;Native;Essential;NA
Eugenia spp.;Pitanga-silvestre;Native;NA;NA
Eugenia stipitata McVaugh;Araçá-boi;Native;Essential;NA
Euterpe edulis Mart.;Palmito;Native;Great;32.300.580,00
Euterpe oleracea Mart.;Açaí;Native;Essential;151.343.950,00
Euterpe precatoria Mart.;Açaí da mata;Native;NA;NA
Feijoa sellowiana (O.Berg) O.Berg;Goiaba-serrana;Native;NA;NA
Ficus cacarica L.;Figo;Exotic;Modest;4.412.900,00
Fragaria x ananassa;Morango;Exotic;Modest;NA
Glycine max (L.) Merr.;Soja;Exotic;Modest;26.224.683.000,00
Glycine wightii (Wight & Arn.) Verdc.;Soja perene;Exotic;Modest;NA
Gossypium hirsutum;Algodão;Exotic;Essential;799.712.350,00
Hancornia speciosa Gomes;Mangaba;Native;Essential;300.390,00
Helianthus annuus L.;Girassol;Exotic;Great;11.068.330,00
Hordeum vulgare L.;Cevada;Exotic;Non-dependent;NA
