"","Latin.name","Family","Origem..Fonte..Flora.do.Brasil.2020.","Brasil","order","family","pollinator.spp","group"
"1","Pouteria caimito (Ruiz & Pav.) Radlk.","Sapotaceae ","Trinidad to Central & S. Tropical America.","Nativa","Hymenoptera","Apidae","Eulaema mocsaryi","Bees"
"2","Pouteria caimito (Ruiz & Pav.) Radlk.","Sapotaceae ","Trinidad to Central & S. Tropical America.","Nativa","Hymenoptera","Apidae","Melipona seminigra","Bees"
"3","Pouteria caimito (Ruiz & Pav.) Radlk.","Sapotaceae ","Trinidad to Central & S. Tropical America.","Nativa","Hymenoptera","Apidae","Oxytrigona obscura","Bees"
"4","Pouteria caimito (Ruiz & Pav.) Radlk.","Sapotaceae ","Trinidad to Central & S. Tropical America.","Nativa","Hymenoptera","Apidae","Ptilotrigona lurida","Bees"
"5","Pouteria caimito (Ruiz & Pav.) Radlk.","Sapotaceae ","Trinidad to Central & S. Tropical America.","Nativa","Hymenoptera","Apidae","Trigona dallatorreana","Bees"
"6","Pouteria caimito (Ruiz & Pav.) Radlk.","Sapotaceae ","Trinidad to Central & S. Tropical America.","Nativa","Hymenoptera","Apidae","Trigona spinipes","Bees"
"7","Pouteria caimito (Ruiz & Pav.) Radlk.","Sapotaceae ","Trinidad to Central & S. Tropical America.","Nativa","Hymenoptera","Apidae","Xylocopa frontalis","Bees"
"8","Euterpe oleracea Mart.","Arecaceae","Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela","Nativa","Hymenoptera","Apidae","Melipona flavolineata","Bees"
"9","Euterpe oleracea Mart.","Arecaceae","Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela","Nativa","Hymenoptera","Apidae","Trigona branneri","Bees"
"10","Euterpe oleracea Mart.","Arecaceae","Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela","Nativa","Hymenoptera","Apidae","Trigona guianae","Bees"
"11","Euterpe oleracea Mart.","Arecaceae","Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela","Nativa","Hymenoptera","Apidae","Trigona pallens","Bees"
"12","Euterpe oleracea Mart.","Arecaceae","Brazil, Colombia, Ecuador, French Guiana, Guyana, Suriname, Trinidad-Tobago, Venezuela","Nativa","Hymenoptera","Apidae","Trigona recursa","Bees"
