spp;full_name;origin;pol_dep;common;obs
Abelmoschus esculentu;Abelmoschus esculentu (L.) Moench;Exo;NA;Quiabo;NA
Acrocomia aculeata;Acrocomia aculeata (Jacq.) Lodd. ex R.Keith;Nat;great;Macaúba;NA
Adesmia exilis;Adesmia exilis Clos;Exo;essential;Babosinha do campo;NA
Allium cepa;Allium cepa L.;Exo;great;Cebola;NA
Allium sativum;Allium sativum L.;Exo;no increase;Alho;NA
Anacardium occidentale;Anacardium occidentale L.;Nat;essential;Caju;NA
Ananas ananassoides;Ananas ananassoides (Baker) L.B.Sm.;Nat;no increase;Abacaxi do cerrado;NA
Ananas comosus;Ananas comosus (L.) Merr.;Nat;no increase;Abacaxi;NA
Annona aurantiaca;Annona aurantiaca Barb.Rodr.;Nat;essential;Araticum de cabo verde;pol_dep_extrapolated
Annona cherimola;Annona cherimola Mill.;Exo;essential;Cherimóia;NA
Annona coriacea;Annona coriacea Mart.;Nat;essential;Araticum liso;NA
Annona cornifolia;Annona cornifolia  A.St.-Hil.;Nat;essential;Caritu cuí;pol_dep_extrapolated
Annona crassiflora;Annona crassiflora Mart.;Nat;essential;Araticum;NA
Annona montana;Annona montana Macfad;Nat;essential;Guanabana;pol_dep_extrapolated
Annona muricata;Annona muricata L.;Nat;little;Graviola;NA
Annona squamosa;Annona squamosa L.;Exo;essential;Pinha;NA
Annona tomentosa;Annona tomentosa R.E.Fr.;Nat;essential;Araticum marolo;NA
Arachis hypogaea;Arachis hypogaea L.;Nat;little;Amendoim;NA
Araucaria angustifolia;Araucaria angustifolia (Bertol.) Kuntze;Nat;no increase;Pinhão;NA
Asparagus officinalis;Asparagus officinalis L.;Exo;no increase;Aspargo;NA
Astrocaryum vulgare;Astrocaryum vulgare Mart.;Nat;NA;Tucumã;NA
Attalea phalerata;Attalea phalerata Mart. ex Spreng.;Nat;essential;Ouricuri;pol_dep_extrapolated
Attalea speciosa;Attalea speciosa Mart.;Nat;essential;Babaçu;NA
Avena sativa;Avena sativa L.;Exo;no increase;Aveia;NA
Averrhoa carambola;Averrhoa carambola L.;Exo;essential;Carambola;NA
Bactris gasipaes;Bactris gasipaes Kunth;Nat;NA;Pupunha;NA
Bactris glaucescens;Bactris glaucescens  Drude;Nat;NA;Palmito tucum;NA
Bertholletia excelsa;Bertholletia excelsa Bonpl.;Nat;essential;Castanha do brasil;NA
Bixa orellana;Bixa orellana L.;Nat;modest;Urucum;NA
Blepharocalyx salicifolius;Blepharocalyx salicifolius (Kunth) O.Berg;Nat;essential;Murta;NA
Brassica napus;Brassica napus L.;Exo;no increase;Brócolis;NA
Brassica rapa;Brassica rapa L.;Nat;great;Canola;NA
Brassica sp1.;Brassica sp1.;Exo;no increase;Couve-flor;NA
Brassica sp2.;Brassica sp2.;Exo;no increase;Repolho;NA
Butia paraguayensis;Butia paraguayensis (Barb.Rodr.) L.H.Bailey;Nat;NA;Butiá do cerrado;NA
Byrsonima coccolobifolia;Byrsonima coccolobifolia Kunth;Nat;essential;Moressuma;pol_dep_extrapolated
Byrsonima crassifolia;Byrsonima crassifolia (L.) Kunth;Nat;essential;Murici;NA
Byrsonima gardneriana;Byrsonima gardneriana A.Juss.;Nat;essential;Murici pitanga;NA
Cajanus cajan;Cajanus cajan (L.) Huth;Exo;little;Feijão gandu;NA
Camellia sinensis;Camellia sinensis (L.) Kuntze;Exo;no increase;Chá-da-índia;NA
Campomanesia adamantium;Campomanesia adamantium (Cambess.) O.Berg;Nat;great;Guavira;NA
Campomanesia guazumifolia;Campomanesia guazumifolia (Cambess.) O.Berg;Nat;essential;Sete-capotes;pol_dep_extrapolated
Campomanesia phaea;Campomanesia phaea (O.Berg) Landrum;Nat;essential;Cambuci;NA
Campomanesia pubescens;Campomanesia pubescens (Mart. ex DC.) O.Berg;Nat;essential;Guabiroba;NA
