Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Alta Floresta D'Oeste (RO);-;10;3;...;-;-;-;2;135;-;-;229;-;-;-;...;59;6180;-;6180;...;10;...;-;-;-;-;-;-;4;-;-;-;-;3400;-;-;-;3;3;-;4;7;-;-;-;3;-;509;-;10;-;9;-;10562;-;-;-;-;9;-;-;1072;-;1;12;-;-;-;35;-
Ariquemes (RO);-;23;8;...;-;-;-;-;700;-;-;185;-;-;-;...;250;185;-;185;...;20;...;-;-;-;-;-;-;7;-;-;-;-;10;-;-;-;4;4;-;6;8;-;-;-;4;-;105;-;18;-;25;-;1900;-;-;-;-;-;-;-;6979;-;-;2;-;-;-;10;-
Cabixi (RO);-;2;-;...;-;-;-;3;800;-;-;30;-;-;-;...;20;27;-;27;...;80;...;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;70;-;-;-;2;-;22620;-;-;-;-;-;-;-;27705;-;-;-;-;-;-;93;-
Cacoal (RO);-;85;-;...;-;-;-;22;55;-;-;500;-;-;-;...;260;9730;-;9730;...;23;...;-;-;-;-;-;-;7;-;-;-;-;875;-;-;-;18;3;-;43;37;-;-;-;95;-;404;-;20;-;32;-;2859;-;-;-;-;34;-;-;2160;-;7;6;-;-;-;20;-
Cerejeiras (RO);-;35;-;...;-;-;-;4;600;-;-;15;-;-;-;...;5;45;-;45;...;10;...;-;-;-;-;-;-;3;-;-;-;-;15;-;-;-;-;-;-;-;4;-;-;-;5;-;120;-;2;-;30;-;28050;-;-;-;-;1;-;-;36430;-;-;15;-;-;-;40;-
Colorado do Oeste (RO);-;5;-;...;-;-;-;1;10;-;-;50;-;-;-;...;10;34;-;34;...;12;...;-;-;-;-;-;-;3;-;-;-;-;5;-;-;-;-;-;-;7;-;-;-;-;-;-;150;-;-;-;-;-;2280;-;-;-;-;-;-;-;3050;-;-;1;-;-;-;20;-
Corumbiara (RO);-;15;-;...;-;-;-;3;3000;-;-;30;-;-;-;...;16;25;-;25;...;15;...;-;-;-;-;-;-;1;-;-;-;-;50;-;-;-;1;-;-;1;-;-;-;-;-;-;145;-;-;-;-;-;34520;-;-;-;-;-;-;-;51250;-;-;2;-;-;-;12;-
Costa Marques (RO);-;4;1;...;-;-;-;-;-;-;-;61;-;-;-;...;-;57;-;57;...;-;...;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;1;-;-;-;-;-;-;237;-;-;-;5;-;120;-;-;-;-;-;-;-;200;-;-;-;-;-;-;15;-
Espigão D'Oeste (RO);-;10;-;...;-;-;-;-;150;-;-;58;-;-;-;...;15;1350;-;1350;...;-;...;-;-;-;-;-;-;3;-;-;-;-;211;-;-;-;-;-;-;20;5;-;-;-;4;-;362;-;-;-;-;-;3484;-;-;-;-;-;-;-;1130;-;-;9;-;-;-;-;-
Guajará-Mirim (RO);-;16;2;...;-;-;-;1;15;-;-;60;-;-;-;...;5;60;-;60;...;12;...;-;-;-;-;-;-;2;-;-;-;-;20;-;-;-;4;-;-;1;6;-;-;-;6;-;603;-;2;-;8;-;50;-;-;-;-;-;-;-;-;-;2;-;-;-;-;12;-
Jaru (RO);-;1;3;...;-;-;-;-;3;-;-;240;-;-;-;...;1391;166;-;166;...;6;...;-;-;-;-;-;-;2;-;-;-;-;243;-;-;-;1;-;-;4;3;-;-;-;-;-;535;-;2;-;5;-;200;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-
Ji-Paraná (RO);-;5;2;...;-;-;-;1;-;-;-;35;-;-;-;...;184;183;-;183;...;36;...;-;-;-;-;-;-;5;-;-;-;-;2;-;-;-;4;-;-;7;4;-;-;-;1;-;143;-;1;-;1;-;40;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-
Machadinho D'Oeste (RO);-;20;-;...;-;-;-;6;220;-;-;224;-;-;-;...;256;580;-;580;...;22;...;-;-;-;-;-;-;3;-;-;-;-;10;-;-;-;-;30;-;9;4;-;-;-;3;-;955;-;1;-;25;-;350;-;-;-;-;3;-;-;14209;-;7;1;-;-;-;4;-
Nova Brasilândia D'Oeste (RO);-;13;-;...;-;-;-;3;1;-;-;50;-;-;-;...;8;6150;-;6150;...;-;...;-;-;-;-;-;-;2;-;-;-;-;80;-;-;-;2;1;-;14;-;-;-;-;9;-;270;-;20;-;16;-;990;-;-;-;-;1;-;-;996;-;-;-;-;-;-;20;-
Ouro Preto do Oeste (RO);-;1;-;...;-;-;-;-;8;-;-;43;-;-;-;...;1275;213;-;213;...;3;...;-;-;-;-;-;-;2;-;-;-;-;12;-;-;-;-;-;-;2;1;-;-;-;1;-;90;-;-;-;6;-;30;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-
Pimenta Bueno (RO);-;50;-;...;-;-;-;-;30;-;-;80;-;-;-;...;4;54;-;54;...;-;...;-;-;-;-;-;-;8;-;-;-;-;50;-;-;-;-;-;-;8;9;-;-;-;3;-;440;-;2;-;8;-;2019;-;-;-;-;1;-;-;2108;-;-;5;-;-;-;2;5
Porto Velho (RO);-;45;70;...;-;-;-;2;5900;-;-;1180;-;-;-;...;363;3223;-;3223;...;120;...;-;-;-;-;-;-;65;-;-;-;-;94;-;-;-;5;2;-;45;120;-;-;-;25;-;5555;-;15;-;170;-;21885;-;-;-;-;15;-;-;13100;-;20;5;-;-;-;15;-
