Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Alta Floresta D'Oeste (RO);-;200;4;...;-;-;-;2;405;-;-;1859;-;-;-;...;32;14742;-;14742;...;300;...;-;-;-;-;-;-;51;-;-;-;-;2050;-;-;-;30;3;-;40;55;-;-;-;55;-;10180;-;90;-;185;-;31550;-;-;-;-;15;-;-;2500;-;4;412;-;-;-;36;-
Ariquemes (RO);-;416;54;...;-;-;-;-;2310;-;-;2997;-;-;-;...;179;245;-;245;...;723;...;-;-;-;-;-;-;56;-;-;-;-;4;-;-;-;37;3;-;46;40;-;-;-;60;-;2775;-;152;-;386;-;6840;-;-;-;-;-;-;-;22731;-;-;31;-;-;-;10;-
Cabixi (RO);-;32;-;...;-;-;-;5;2600;-;-;225;-;-;-;...;8;102;-;102;...;3000;...;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;25;9;-;-;-;-;-;1201;-;-;-;41;-;102163;-;-;-;-;-;-;-;103899;-;-;-;-;-;-;105;-
Cacoal (RO);-;1800;-;...;-;-;-;30;99;-;-;6000;-;-;-;...;100;22452;-;22452;...;750;...;-;-;-;-;-;-;95;-;-;-;-;788;-;-;-;180;2;-;560;250;-;-;-;2000;-;7548;-;230;-;650;-;4763;-;-;-;-;48;-;-;6000;-;33;160;-;-;-;16;-
Cerejeiras (RO);-;875;-;...;-;-;-;7;1946;-;-;108;-;-;-;...;2;98;-;98;...;350;...;-;-;-;-;-;-;60;-;-;-;-;12;-;-;-;-;-;-;-;27;-;-;-;81;-;1960;-;19;-;600;-;127074;-;-;-;-;2;-;-;131825;-;-;525;-;-;-;44;-
Colorado do Oeste (RO);-;120;-;...;-;-;-;2;38;-;-;372;-;-;-;...;10;64;-;64;...;370;...;-;-;-;-;-;-;22;-;-;-;-;4;-;-;-;-;-;-;91;-;-;-;-;-;-;3000;-;-;-;-;-;10292;-;-;-;-;-;-;-;10980;-;-;33;-;-;-;21;-
Corumbiara (RO);-;340;-;...;-;-;-;4;9600;-;-;240;-;-;-;...;5;40;-;40;...;525;...;-;-;-;-;-;-;20;-;-;-;-;36;-;-;-;10;-;-;12;-;-;-;-;-;-;2595;-;-;-;-;-;157038;-;-;-;-;-;-;-;171944;-;-;70;-;-;-;14;-
Costa Marques (RO);-;95;12;...;-;-;-;-;-;-;-;366;-;-;-;...;-;249;-;249;...;-;...;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;12;-;-;-;-;-;-;3346;-;-;-;95;-;181;-;-;-;-;-;-;-;600;-;-;-;-;-;-;26;-
Espigão D'Oeste (RO);-;220;-;...;-;-;-;-;360;-;-;538;-;-;-;...;7;2150;-;2150;...;-;...;-;-;-;-;-;-;30;-;-;-;-;126;-;-;-;-;-;-;250;35;-;-;-;53;-;6154;-;-;-;-;-;8362;-;-;-;-;-;-;-;3390;-;-;300;-;-;-;-;-
Guajará-Mirim (RO);-;240;15;...;-;-;-;1;19;-;-;480;-;-;-;...;1;56;-;56;...;504;...;-;-;-;-;-;-;25;-;-;-;-;9;-;-;-;40;-;-;15;45;-;-;-;120;-;11200;-;14;-;160;-;161;-;-;-;-;-;-;-;-;-;9;-;-;-;-;10;-
