Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Alta Floresta D'Oeste (RO);-;438;8;...;-;-;-;18;844;-;-;3811;-;-;-;...;298;115602;-;115602;...;98;...;-;-;-;-;-;-;56;-;-;-;-;8456;-;-;-;63;75;-;71;104;-;-;-;95;-;15466;-;288;-;220;-;41606;-;-;-;-;134;-;-;5945;-;7;1265;-;-;-;148;-
Ariquemes (RO);-;911;107;...;-;-;-;-;3080;-;-;6444;-;-;-;...;1692;1511;-;1511;...;237;...;-;-;-;-;-;-;45;-;-;-;-;17;-;-;-;74;18;-;82;76;-;-;-;104;-;3356;-;487;-;459;-;10007;-;-;-;-;-;-;-;58506;-;-;95;-;-;-;40;-
Cabixi (RO);-;70;-;...;-;-;-;40;2340;-;-;502;-;-;-;...;83;810;-;810;...;984;...;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;43;16;-;-;-;-;-;1386;-;-;-;49;-;126399;-;-;-;-;-;-;-;242396;-;-;-;-;-;-;431;-
Cacoal (RO);-;4500;-;...;-;-;-;240;206;-;-;12012;-;-;-;...;1168;184923;-;184923;...;246;...;-;-;-;-;-;-;114;-;-;-;-;3273;-;-;-;360;12;-;1120;500;-;-;-;4500;-;5428;-;613;-;722;-;5528;-;-;-;-;408;-;-;14262;-;56;560;-;-;-;66;-
Cerejeiras (RO);-;2888;-;...;-;-;-;56;3075;-;-;252;-;-;-;...;21;775;-;775;...;32;...;-;-;-;-;-;-;58;-;-;-;-;50;-;-;-;-;-;-;-;68;-;-;-;243;-;2004;-;79;-;900;-;157446;-;-;-;-;18;-;-;342646;-;-;3675;-;-;-;308;-
Colorado do Oeste (RO);-;300;-;...;-;-;-;16;60;-;-;865;-;-;-;...;129;506;-;506;...;121;...;-;-;-;-;-;-;24;-;-;-;-;17;-;-;-;-;-;-;134;-;-;-;-;-;-;5769;-;-;-;-;-;12727;-;-;-;-;-;-;-;28548;-;-;101;-;-;-;86;-
Corumbiara (RO);-;850;-;...;-;-;-;32;15168;-;-;521;-;-;-;...;52;319;-;319;...;51;...;-;-;-;-;-;-;21;-;-;-;-;150;-;-;-;20;-;-;18;-;-;-;-;-;-;4603;-;-;-;-;-;194585;-;-;-;-;-;-;-;443244;-;-;215;-;-;-;57;-
Costa Marques (RO);-;208;24;...;-;-;-;-;-;-;-;727;-;-;-;...;-;1656;-;1656;...;-;...;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;21;-;-;-;-;-;-;5646;-;-;-;113;-;219;-;-;-;-;-;-;-;1290;-;-;-;-;-;-;208;-
Espigão D'Oeste (RO);-;482;-;...;-;-;-;-;750;-;-;1232;-;-;-;...;83;17114;-;17114;...;-;...;-;-;-;-;-;-;33;-;-;-;-;523;-;-;-;-;-;-;443;84;-;-;-;91;-;7966;-;-;-;-;-;9852;-;-;-;-;-;-;-;8061;-;-;921;-;-;-;-;-
Guajará-Mirim (RO);-;526;30;...;-;-;-;8;11;-;-;732;-;-;-;...;11;180;-;180;...;50;...;-;-;-;-;-;-;28;-;-;-;-;28;-;-;-;80;-;-;27;85;-;-;-;207;-;16613;-;45;-;190;-;92;-;-;-;-;-;-;-;-;-;15;-;-;-;-;41;-
